idpoint|longitude|latitude|sog|cog|ts|route
108|-4.780158|48.35948|0|139.2|1443872590|R_01
109|-4.780143|48.35948|0.1|58.6|1453640009|R_01
110|-4.780142|48.35948|0|90.8|1447242527|R_01
111|-4.780182|48.359486|0|62.7|1444476808|R_01
112|-4.780182|48.359486|0.2|78.9|1451216590|R_01
113|-4.780175|48.359486|0.1|58.9|1456574031|R_01
114|-4.780185|48.35949|0.1|87.4|1454240625|R_01
115|-4.780178|48.35949|0|78.2|1447591707|R_01
116|-4.780205|48.359493|0.4|342.8|1454604800|R_01
117|-4.780192|48.359493|0.2|293.5|1445614414|R_01
118|-4.780178|48.359493|0.1|77.5|1446914897|R_01
119|-4.780162|48.359493|0.6|104.7|1446897498|R_01
120|-4.780152|48.359493|0.1|38|1455536335|R_01
121|-4.780143|48.359493|0|82.4|1446385099|R_01
122|-4.780143|48.359497|0.1|136|1453031313|R_01
123|-4.793398|48.3595|17.1|300.4|1458997634|R_01
124|-4.78018|48.3595|0.4|53.4|1446742128|R_01
125|-4.78017|48.3595|0.2|251.2|1447260525|R_01
126|-4.780162|48.3595|0.1|89.3|1447505923|R_01
127|-4.78016|48.3595|0|80.3|1446294792|R_01
128|-4.780155|48.359505|0.4|242.9|1449402492|R_01
129|-4.780143|48.359505|0.2|38.7|1447428814|R_01
130|-4.795832|48.35951|12.4|126.7|1454661847|R_01
131|-4.781535|48.35951|3.7|282.1|1451235790|R_01
132|-4.780962|48.35951|3.3|99.9|1447242192|R_01
133|-4.780255|48.35951|1|92.3|1447087692|R_01
134|-4.780183|48.35951|0.1|12.8|1458254294|R_01
135|-4.780162|48.35951|0.2|16.7|1451408325|R_01
136|-4.780138|48.35951|0|136|1453034014|R_01
137|-4.78089|48.359512|0.8|246.2|1454000296|R_01
138|-4.780487|48.359512|1.9|249.8|1458579497|R_01
139|-4.780119|48.359512|0.1|19.6|1450529625|R_01
140|-4.780105|48.359512|0.2|48.3|1447346891|R_01
141|-4.78132|48.359516|0.5|77.6|1457455695|R_01
142|-4.78009|48.359516|0.2|20.9|1449319116|R_01
143|-4.780096|48.35952|0.1|56.8|1445776416|R_01
144|-4.780297|48.359528|0.8|257.3|1458665338|R_01
145|-4.780615|48.35953|2.2|267|1450198391|R_01
146|-4.780855|48.359535|0.5|267|1448638390|R_01
147|-4.780102|48.359535|0.3|24.9|1452344318|R_01
148|-4.79449|48.35954|13.7|119|1457179221|R_01
149|-4.780426|48.35954|0.8|302.5|1448211204|R_01
