,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
3789,245206000,2023-01-01T00:01:03,18.64979,-66.23438,10.4,320.8,322.0,EURODAM,IMO9378448,PHOS,60.0,0.0,285.0,32.0,8.0,60.0,A
3790,368038090,2023-01-01T00:01:03,28.24738,-91.44981,8.7,236.1,511.0,GOL SAPPHIRE,IMO8964836,WDK2707,0.0,0.0,44.0,11.0,3.7,0.0,A
3791,367728850,2023-01-01T00:01:05,41.80346,-73.94923,0.0,128.6,180.0,GRACIE M REINAUER,IMO9804605,WDI7449,31.0,0.0,35.0,,,57.0,A
3792,338084714,2023-01-01T00:00:32,28.40797,-80.62845,0.0,166.3,511.0,BENNE VITA,,,37.0,,,,,,B
3793,338227114,2023-01-01T00:00:33,47.29492,-122.41866,0.0,225.3,511.0,HAVE GUN WILL TRAVEL,IMO0000000,,37.0,,15.0,4.0,,,B
3794,338345761,2023-01-01T00:00:37,32.71305,-117.23088,0.0,360.0,511.0,LIVIN' WELL,IMO0000000,,37.0,,17.0,6.0,,,B
3795,338458011,2023-01-01T00:00:45,26.89038,-80.07395,0.0,360.0,511.0,HOOKEM DANO,IMO0000000,,37.0,,17.0,5.0,,,B
3796,338428831,2023-01-01T00:00:46,37.83775,-122.31012,0.0,315.5,511.0,TAHINI,IMO0000000,,36.0,,13.0,6.0,,,B
3797,367102860,2023-01-01T00:01:06,35.44287,-75.43837,4.2,185.6,511.0,LITTLE BIT,IMO8037671,WDC9481,30.0,,23.0,6.0,,,B
3798,636009832,2023-01-01T00:01:06,27.68767,-82.57006,14.2,241.2,240.0,OURO DO BRASIL,IMO9018646,ELPP9,80.0,0.0,172.0,26.0,9.5,70.0,A
3799,368121820,2023-01-01T00:01:07,29.95382,-90.0625,0.0,360.0,6.0,MICHAEL S,,WDL3461,52.0,0.0,32.0,12.0,0.0,52.0,A
3800,366759130,2023-01-01T00:00:07,47.79489,-122.49427,0.0,281.2,293.0,WSF PUYALLUP,IMO9137363,WCY7938,60.0,0.0,138.0,27.0,5.3,60.0,A
3801,367004120,2023-01-01T00:00:03,30.04794,-90.65262,1.8,317.2,511.0,ANGELA RAE,,WCP6283,31.0,15.0,16.0,7.0,,21.0,A
3802,368129980,2023-01-01T00:00:06,39.78524,-75.41121,0.0,22.1,233.0,MR BILL,,WDL4285,32.0,0.0,18.0,7.0,2.1,32.0,A
3803,338433194,2023-01-01T00:00:08,33.60251,-117.89317,5.0,98.5,82.0,NA' HOA,IMO0000000,,37.0,,13.0,4.0,,,B
3804,316004038,2023-01-01T00:00:08,48.9997,-123.81425,0.0,129.2,511.0,OCEAN WARRIOR,IMO0000000,,52.0,,0.0,0.0,,,B
3805,367717920,2023-01-01T00:00:04,38.40351,-82.55577,0.0,360.0,511.0,BARBARA ANN,,WDI6362,31.0,15.0,10.0,,,52.0,A
3806,368926278,2023-01-01T00:00:19,44.60981,-92.60949,0.0,360.0,511.0,BUTLER,IMO0000000,AELO,31.0,,17.0,6.0,,,B
3807,316039128,2023-01-01T00:00:21,49.29373,-123.13151,0.0,298.6,511.0,KOMAGATA,IMO0000000,1234567,37.0,,20.0,6.0,,,B
3808,338218842,2023-01-01T00:00:19,48.75491,-122.50503,0.1,360.0,511.0,BEACH HOUSE,IMO0000000,,37.0,,17.0,5.0,,,B
3809,258018280,2023-01-01T00:00:22,18.33189,-64.93902,0.1,360.0,511.0,DREAMCATHER,IMO0000000,LH4974,36.0,,13.0,8.0,,,B
3810,338123603,2023-01-01T00:00:25,47.28111,-122.40098,0.0,309.1,511.0,MARY DIANNE,IMO0000000,,37.0,,15.0,5.0,,,B
3811,368078540,2023-01-01T00:00:28,38.97313,-76.48282,0.0,360.0,511.0,RECOVERY ROOM,IMO0000000,,37.0,,0.0,0.0,,,B
3812,367590310,2023-01-01T00:00:34,41.37907,-71.51162,0.1,98.9,511.0,ENTERPRISE,,WDG9688,30.0,,20.0,,,,B
3813,368087450,2023-01-01T00:00:35,38.92938,-76.54125,0.0,345.5,511.0,APELLE,IMO0000000,WDK7750,36.0,,14.0,8.0,,,B
3814,338353699,2023-01-01T00:00:14,26.92092,-82.07666,0.0,360.0,511.0,MOTLEY CREW,IMO0000000,,37.0,,10.0,4.0,,,B
3815,367349450,2023-01-01T00:00:02,45.98925,-83.87957,0.1,322.6,91.0,DRUMMOND ISLANDER IV,,WDE4153,60.0,0.0,43.0,12.0,,60.0,A
3816,368279970,2023-01-01T00:00:00,26.74902,-80.05074,1.8,360.0,511.0,LIBERTAS,IMO0000000,WDN4316,37.0,,25.0,6.0,,,B
3817,367057810,2023-01-01T00:00:01,30.00973,-90.82933,0.0,66.6,511.0,HAL J PANNELL,,WDC6552,31.0,12.0,45.0,14.0,,52.0,A
3818,316028676,2023-01-01T00:00:00,48.70779,-123.26694,4.6,58.8,511.0,ARCHANGEL 1,IMO0000000,,36.0,,13.0,4.0,,,B
3819,338308017,2023-01-01T00:00:19,32.11935,-81.1331,0.0,360.0,511.0,BULLDOG II,IMO0000000,,52.0,,7.0,4.0,,,B
3820,367004580,2023-01-01T00:00:21,30.06534,-90.87076,0.0,181.5,268.0,MISS NELDA,,WDC3244,31.0,1.0,20.0,7.0,,31.0,A
3821,368205740,2023-01-01T00:00:22,47.67779,-122.40761,0.0,17.4,160.0,ALSEPHINA,IMO0000000,WDM4366,37.0,,12.0,4.0,,,B
3822,368143440,2023-01-01T00:00:23,29.38413,-94.7708,6.9,39.7,39.0,EASTERN SUN,IMO0000000,WDL5687,36.0,,14.0,8.0,,,B
3823,339824000,2023-01-01T00:00:26,48.42649,-123.38192,0.0,295.6,125.0,NOORDERZON,IMO9129990,6YTZ6,37.0,5.0,37.0,8.0,3.0,37.0,A
3824,338441458,2023-01-01T00:00:30,33.71969,-118.27978,0.0,360.0,511.0,PERFECT BALANCE,IMO0000000,,37.0,,17.0,8.0,,,B
3825,241529000,2023-01-01T00:00:10,31.4463,-117.75401,0.8,197.7,171.0,PERSEPOLIS,IMO9798870,SVCR3,80.0,0.0,228.0,33.0,8.7,80.0,A
3826,316026464,2023-01-01T00:00:14,49.20044,-123.10811,6.2,292.3,291.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,52.0,A
3827,368145940,2023-01-01T00:00:50,30.22363,-81.41259,0.0,360.0,511.0,NIGHTHAWK,IMO0000000,WDL5945,37.0,,42.0,12.0,,,B
3828,368264830,2023-01-01T00:00:54,27.36844,-82.61844,0.0,360.0,511.0,SAPPHIRE,IMO0000000,WDN2739,37.0,,17.0,5.0,,,B
3829,368283220,2023-01-01T00:00:58,35.02915,-76.68178,0.0,360.0,511.0,FUGU,IMO0000000,WDN4678,36.0,,14.0,4.0,,,B
3830,367648570,2023-01-01T00:00:59,47.53077,-122.21725,0.0,280.5,511.0,CAPER,,WDH7480,37.0,,19.0,,,,B
3831,368165260,2023-01-01T00:00:06,35.09749,-90.09977,0.0,85.8,511.0,CAPT GEORGE B. CUMMI,,WDL7977,31.0,0.0,21.0,8.0,3.0,31.0,A
3832,368220010,2023-01-01T00:01:03,45.74963,-122.77103,0.0,189.2,511.0,OLLIE,IMO0000000,WDM5871,37.0,,10.0,3.0,,,B
3833,338429455,2023-01-01T00:01:03,42.36966,-71.05984,0.0,210.8,511.0,ANIRAM,IMO0000000,,37.0,,15.0,5.0,,,B
3834,368243880,2023-01-01T00:00:04,29.70553,-91.22283,0.0,245.4,351.0,CAPT PAUL CAYARD,IMO1319423,WDM8506,52.0,0.0,21.0,8.0,0.0,52.0,A
3835,368280810,2023-01-01T00:00:16,46.28459,-84.21008,0.0,360.0,45.0,NEEBISH ISLANDER III,IMO0000000,WDN4410,60.0,,0.0,0.0,,,B
3836,538005900,2023-01-01T00:00:29,49.30317,-123.04918,0.0,254.1,54.0,BALTIC WASP,IMO9722015,V7HZ4,70.0,5.0,199.0,32.0,13.3,70.0,A
